feature,train_missing_fraction,train_unique_values
f_328,0.001277139208173691,1
f_329,0.001277139208173691,1
f_330,0.001277139208173691,1
f_331,0.001277139208173691,269
f_332,0.002554278416347382,767
f_333,0.001277139208173691,770
f_334,0.001277139208173691,664
f_335,0.001277139208173691,772
f_336,0.002554278416347382,777
f_337,0.002554278416347382,767
f_338,0.002554278416347382,767
f_339,0.001277139208173691,778
f_340,0.001277139208173691,530
f_341,0.001277139208173691,771
f_342,0.001277139208173691,2
f_343,0.001277139208173691,777
f_344,0.001277139208173691,781
f_345,0.49169859514687103,395
f_346,0.49169859514687103,394
f_347,0.001277139208173691,2
f_348,0.016602809706257982,284
f_349,0.016602809706257982,298
f_350,0.016602809706257982,329
f_351,0.016602809706257982,387
f_352,0.016602809706257982,285
f_353,0.016602809706257982,410
f_354,0.016602809706257982,367
f_355,0.016602809706257982,416
f_356,0.001277139208173691,760
f_357,0.011494252873563218,26
f_358,0.8582375478927203,16
f_359,0.0,197
f_360,0.0,85
f_361,0.0,628
f_362,0.033205619412515965,276
f_363,0.033205619412515965,757
f_364,0.0038314176245210726,1
f_365,0.0,99
f_366,0.0,87
f_367,0.0038314176245210726,92
f_368,0.0038314176245210726,82
f_369,0.0038314176245210726,1
f_370,0.0038314176245210726,1
f_371,0.0038314176245210726,1
f_372,0.0038314176245210726,1
f_373,0.0038314176245210726,1
f_374,0.0038314176245210726,1
f_375,0.0038314176245210726,1
f_376,0.0,32
f_377,0.0,27
f_378,0.0038314176245210726,1
f_379,0.0038314176245210726,1
f_380,0.0038314176245210726,1
f_381,0.0038314176245210726,1
f_382,0.6615581098339719,26
f_383,0.6615581098339719,261
f_384,0.6615581098339719,262
f_385,0.4495530012771392,165
f_386,0.0,164
f_387,0.0,16
f_388,0.0,783
f_389,0.0,60
f_390,0.0,751
f_391,0.016602809706257982,154
f_392,0.0,102
f_393,0.0,599
f_394,0.006385696040868455,1
f_395,0.006385696040868455,1
f_396,0.006385696040868455,1
f_397,0.006385696040868455,1
f_398,0.006385696040868455,1
f_399,0.006385696040868455,1
f_400,0.006385696040868455,1
f_401,0.006385696040868455,1
f_402,0.006385696040868455,1
f_403,0.006385696040868455,1
f_404,0.006385696040868455,1
f_405,0.005108556832694764,207
f_406,0.005108556832694764,289
f_407,0.005108556832694764,285
f_408,0.002554278416347382,450
f_409,0.002554278416347382,778
f_410,0.002554278416347382,777
f_411,0.010217113665389528,393
f_412,0.010217113665389528,399
f_413,0.010217113665389528,399
f_414,0.010217113665389528,1
f_415,0.010217113665389528,398
f_416,0.006385696040868455,393
f_417,0.001277139208173691,779
f_418,0.001277139208173691,550
f_419,0.001277139208173691,415
f_420,0.001277139208173691,765
f_421,0.001277139208173691,774
f_422,0.001277139208173691,1
f_423,0.001277139208173691,781
f_424,0.001277139208173691,777
f_425,0.001277139208173691,774
f_426,0.001277139208173691,767
f_427,0.001277139208173691,774
f_428,0.011494252873563218,320
f_429,0.0,779
f_430,0.0,778
f_431,0.0,776
f_432,0.0,750
f_433,0.0,689
f_434,0.0,769
f_435,0.0,774
f_436,0.0,772
f_437,0.0,761
f_438,0.0,593
f_439,0.0,780
f_440,0.0,781
f_441,0.0,291
f_442,0.0,299
f_443,0.0,296
f_444,0.0,290
f_445,0.0,293
f_446,0.0,302
f_447,0.0,286
f_448,0.0,292
f_449,0.007662835249042145,1
f_450,0.007662835249042145,1
f_451,0.001277139208173691,1
f_452,0.001277139208173691,770
f_453,0.001277139208173691,779
f_454,0.001277139208173691,781
f_455,0.001277139208173691,767
f_456,0.001277139208173691,780
f_457,0.001277139208173691,775
f_458,0.001277139208173691,1
f_459,0.001277139208173691,772
f_460,0.001277139208173691,782
f_461,0.001277139208173691,1
f_462,0.001277139208173691,1
f_463,0.001277139208173691,1
f_464,0.001277139208173691,1
f_465,0.001277139208173691,1
f_466,0.001277139208173691,1
f_467,0.001277139208173691,336
f_468,0.002554278416347382,666
f_469,0.001277139208173691,770
f_470,0.001277139208173691,778
f_471,0.001277139208173691,781
f_472,0.002554278416347382,781
f_473,0.002554278416347382,781
f_474,0.002554278416347382,780
f_475,0.001277139208173691,774
f_476,0.001277139208173691,782
f_477,0.001277139208173691,775
f_478,0.001277139208173691,2
f_479,0.001277139208173691,769
f_480,0.001277139208173691,782
f_481,0.001277139208173691,1
f_482,0.016602809706257982,549
f_483,0.016602809706257982,694
f_484,0.016602809706257982,663
f_485,0.016602809706257982,676
f_486,0.016602809706257982,520
f_487,0.016602809706257982,604
f_488,0.016602809706257982,661
f_489,0.016602809706257982,674
f_490,0.001277139208173691,781
f_491,0.011494252873563218,366
f_492,0.8582375478927203,111
f_493,0.0,432
f_494,0.0,595
f_495,0.0,624
f_496,0.033205619412515965,756
f_497,0.033205619412515965,754
f_498,0.0038314176245210726,1
f_499,0.0,369
f_500,0.0,319
f_501,0.0038314176245210726,1
f_502,0.0038314176245210726,1
f_503,0.0038314176245210726,1
f_504,0.0038314176245210726,1
f_505,0.0038314176245210726,1
f_506,0.0038314176245210726,1
f_507,0.0038314176245210726,1
f_508,0.0038314176245210726,1
f_509,0.0038314176245210726,1
f_510,0.0,766
f_511,0.0,319
f_512,0.0038314176245210726,1
f_513,0.0038314176245210726,1
f_514,0.0038314176245210726,1
f_515,0.0038314176245210726,1
f_516,0.6615581098339719,248
f_517,0.6615581098339719,262
f_518,0.6615581098339719,263
f_519,0.4495530012771392,425
f_520,0.0,778
f_521,0.0,7
f_522,0.0,781
f_523,0.0,628
f_524,0.0,775
f_525,0.016602809706257982,765
f_526,0.0,770
f_527,0.0,780
f_528,0.006385696040868455,1
f_529,0.006385696040868455,1
f_530,0.006385696040868455,1
f_531,0.006385696040868455,1
f_532,0.006385696040868455,1
f_533,0.006385696040868455,1
f_534,0.006385696040868455,1
f_535,0.006385696040868455,1
f_536,0.006385696040868455,1
f_537,0.006385696040868455,1
f_538,0.006385696040868455,1
f_539,0.005108556832694764,287
f_540,0.005108556832694764,289
f_541,0.005108556832694764,289
f_542,0.002554278416347382,91
f_543,0.002554278416347382,66
f_544,0.002554278416347382,20
f_545,0.002554278416347382,193
f_546,0.17113665389527458,541
f_547,0.17113665389527458,540
f_548,0.17113665389527458,517
f_549,0.17113665389527458,545
f_550,0.17113665389527458,457
f_551,0.17113665389527458,178
f_552,0.17113665389527458,522
f_553,0.17113665389527458,548
f_554,0.17113665389527458,528
f_555,0.17113665389527458,551
f_556,0.17113665389527458,545
f_557,0.17113665389527458,548
f_558,0.001277139208173691,286
f_559,0.001277139208173691,312
f_560,0.001277139208173691,274
f_561,0.001277139208173691,319
f_562,0.1826309067688378,427
f_563,0.1826309067688378,403
f_564,0.1826309067688378,338
f_565,0.1826309067688378,391
f_566,0.1826309067688378,430
f_567,0.1826309067688378,352
f_568,0.1826309067688378,429
f_569,0.1826309067688378,432
f_570,0.0,507
f_571,0.0,500
f_572,0.0,382
f_573,0.0,487
f_574,0.0,514
f_575,0.0,414
f_576,0.0,507
f_577,0.0,519
f_578,0.6168582375478927,215
f_579,0.6168582375478927,181
f_580,0.6168582375478927,92
f_581,0.6168582375478927,298
f_582,0.001277139208173691,160
f_583,0.001277139208173691,182
f_584,0.001277139208173691,58
f_585,0.001277139208173691,770
f_586,0.001277139208173691,266
f_587,0.001277139208173691,216
f_588,0.001277139208173691,104
f_589,0.001277139208173691,429
