feature,development_missing_fraction,development_unique_values
f_074,0.003404255319148936,2
f_075,0.01702127659574468,607
f_076,0.01702127659574468,751
f_077,0.01702127659574468,709
f_078,0.01702127659574468,827
f_079,0.01702127659574468,607
f_080,0.01702127659574468,770
f_081,0.01702127659574468,495
f_082,0.01702127659574468,762
f_083,0.000851063829787234,1134
f_084,0.00851063829787234,176
f_085,0.854468085106383,90
f_086,0.0,435
f_087,0.0,235
f_088,0.0,816
f_089,0.03148936170212766,574
f_090,0.03148936170212766,1136
f_091,0.00425531914893617,946
f_092,0.000851063829787234,170
f_093,0.000851063829787234,165
f_094,0.00425531914893617,19
f_095,0.00425531914893617,13
f_096,0.00425531914893617,1028
f_097,0.00425531914893617,1
f_098,0.00425531914893617,1082
f_099,0.00425531914893617,251
f_100,0.00425531914893617,33
f_101,0.00425531914893617,25
f_102,0.00425531914893617,876
f_103,0.000851063829787234,146
f_104,0.000851063829787234,52
f_105,0.00425531914893617,163
f_106,0.00425531914893617,167
f_107,0.00425531914893617,914
f_108,0.00425531914893617,943
f_109,0.6638297872340425,93
f_110,0.6638297872340425,393
f_111,0.6638297872340425,392
f_112,0.4451063829787234,229
f_113,0.0,435
f_114,0.0,19
f_115,0.0,1175
f_116,0.0,126
f_117,0.0,1153
f_118,0.01702127659574468,306
f_119,0.0,239
f_120,0.0,995
f_121,0.007659574468085106,53
f_122,0.007659574468085106,291
f_123,0.007659574468085106,50
f_124,0.007659574468085106,57
f_125,0.007659574468085106,149
f_126,0.007659574468085106,262
f_127,0.007659574468085106,305
f_128,0.007659574468085106,254
f_129,0.007659574468085106,92
f_130,0.007659574468085106,293
f_131,0.007659574468085106,67
f_132,0.006808510638297872,289
f_133,0.006808510638297872,316
f_134,0.006808510638297872,315
f_135,0.002553191489361702,131
f_136,0.003404255319148936,875
f_137,0.003404255319148936,874
f_138,0.00851063829787234,329
f_139,0.00851063829787234,475
f_140,0.00851063829787234,457
f_141,0.00851063829787234,1
f_142,0.00851063829787234,357
f_143,0.005106382978723404,63
f_144,0.001702127659574468,810
f_145,0.001702127659574468,579
f_146,0.001702127659574468,515
f_147,0.001702127659574468,285
f_148,0.001702127659574468,1168
f_149,0.002553191489361702,1
f_150,0.002553191489361702,1105
f_151,0.002553191489361702,1131
f_152,0.002553191489361702,1080
f_153,0.002553191489361702,209
f_154,0.002553191489361702,1164
f_155,0.00851063829787234,63
f_156,0.0,626
f_157,0.9038297872340425,106
f_158,0.9038297872340425,113
f_159,0.0,793
f_160,0.0,645
f_161,0.0,1089
f_162,0.0,1028
f_163,0.0,245
f_164,0.0,203
f_165,0.0,366
f_166,0.0,58
f_167,0.0,28
f_168,0.0,199
f_169,0.0,588
f_170,0.0,318
f_171,0.0,296
f_172,0.0,295
f_173,0.0,308
f_174,0.0,296
f_175,0.0,316
f_176,0.0,307
f_177,0.0,241
f_178,0.015319148936170212,1
f_179,0.000851063829787234,1
f_180,0.000851063829787234,759
f_181,0.000851063829787234,611
f_182,0.000851063829787234,791
f_183,0.000851063829787234,1142
f_184,0.000851063829787234,867
f_185,0.000851063829787234,634
f_186,0.000851063829787234,1
f_187,0.000851063829787234,833
f_188,0.000851063829787234,1164
f_189,0.000851063829787234,1
f_190,0.002553191489361702,1
f_191,0.002553191489361702,1
f_192,0.002553191489361702,1
f_193,0.002553191489361702,1
f_194,0.002553191489361702,1
f_195,0.002553191489361702,201
f_196,0.00425531914893617,739
f_197,0.003404255319148936,751
f_198,0.003404255319148936,660
f_199,0.003404255319148936,766
f_200,0.00425531914893617,825
f_201,0.00425531914893617,735
f_202,0.00425531914893617,1121
f_203,0.003404255319148936,1132
f_204,0.003404255319148936,974
f_205,0.003404255319148936,719
f_206,0.003404255319148936,2
f_207,0.003404255319148936,846
f_208,0.003404255319148936,1159
f_209,0.003404255319148936,2
f_210,0.01702127659574468,675
f_211,0.01702127659574468,585
f_212,0.01702127659574468,591
f_213,0.01702127659574468,697
f_214,0.01702127659574468,677
f_215,0.01702127659574468,700
f_216,0.01702127659574468,628
f_217,0.01702127659574468,705
f_218,0.000851063829787234,1164
f_219,0.00851063829787234,64
f_220,0.854468085106383,62
f_221,0.0,383
f_222,0.0,169
f_223,0.0,816
f_224,0.03148936170212766,617
f_225,0.03148936170212766,1114
f_226,0.00425531914893617,1
f_227,0.000851063829787234,288
f_228,0.000851063829787234,269
f_229,0.00425531914893617,1
f_230,0.00425531914893617,1
f_231,0.00425531914893617,1
f_232,0.00425531914893617,1
f_233,0.00425531914893617,1
f_234,0.00425531914893617,1
f_235,0.00425531914893617,1
f_236,0.00425531914893617,1
f_237,0.00425531914893617,1
f_238,0.000851063829787234,87
f_239,0.000851063829787234,77
f_240,0.00425531914893617,1
f_241,0.00425531914893617,1
f_242,0.00425531914893617,1
f_243,0.00425531914893617,1
f_244,0.6638297872340425,59
f_245,0.6638297872340425,393
f_246,0.6638297872340425,393
f_247,0.4451063829787234,424
f_248,0.0,393
f_249,0.0,22
f_250,0.0,1174
f_251,0.0,120
f_252,0.0,1152
f_253,0.01702127659574468,406
f_254,0.0,267
f_255,0.0,1027
f_256,0.007659574468085106,1
f_257,0.007659574468085106,1
f_258,0.007659574468085106,1
f_259,0.007659574468085106,1
f_260,0.007659574468085106,1
f_261,0.007659574468085106,1
f_262,0.007659574468085106,1
f_263,0.007659574468085106,1
f_264,0.007659574468085106,1
f_265,0.007659574468085106,1
f_266,0.007659574468085106,1
f_267,0.006808510638297872,275
f_268,0.006808510638297872,313
f_269,0.006808510638297872,310
f_270,0.002553191489361702,538
f_271,0.003404255319148936,1171
f_272,0.003404255319148936,1171
f_273,0.00851063829787234,475
f_274,0.00851063829787234,475
f_275,0.00851063829787234,425
f_276,0.00851063829787234,1
f_277,0.00851063829787234,469
f_278,0.005106382978723404,22
f_279,0.001702127659574468,489
f_280,0.001702127659574468,233
f_281,0.001702127659574468,209
f_282,0.001702127659574468,111
f_283,0.001702127659574468,1147
f_284,0.002553191489361702,1
f_285,0.002553191489361702,1154
f_286,0.002553191489361702,1158
f_287,0.002553191489361702,871
f_288,0.002553191489361702,84
f_289,0.002553191489361702,1149
f_290,0.00851063829787234,298
f_291,0.0,326
f_292,0.9038297872340425,78
f_293,0.9038297872340425,113
f_294,0.0,1173
f_295,0.0,1173
f_296,0.0,1175
f_297,0.0,1172
f_298,0.0,624
f_299,0.0,550
f_300,0.0,795
f_301,0.0,921
f_302,0.0,513
f_303,0.0,468
f_304,0.0,911
f_305,0.0,301
f_306,0.0,255
f_307,0.0,273
f_308,0.0,284
f_309,0.0,277
f_310,0.0,300
f_311,0.0,267
f_312,0.0,296
f_313,0.015319148936170212,1
f_314,0.015319148936170212,1
f_315,0.000851063829787234,1
f_316,0.000851063829787234,1161
f_317,0.000851063829787234,929
f_318,0.000851063829787234,1157
f_319,0.000851063829787234,1167
f_320,0.000851063829787234,495
f_321,0.000851063829787234,1138
f_322,0.000851063829787234,1
f_323,0.000851063829787234,1155
f_324,0.000851063829787234,1169
f_325,0.000851063829787234,1
f_326,0.002553191489361702,1
f_327,0.002553191489361702,1
f_328,0.002553191489361702,1
f_329,0.002553191489361702,1
f_330,0.002553191489361702,1
f_331,0.002553191489361702,295
f_332,0.00425531914893617,1144
f_333,0.003404255319148936,1154
f_334,0.003404255319148936,924
f_335,0.003404255319148936,1159
f_336,0.00425531914893617,1154
f_337,0.00425531914893617,1144
f_338,0.00425531914893617,1142
f_339,0.003404255319148936,1165
f_340,0.003404255319148936,674
f_341,0.003404255319148936,1148
f_342,0.003404255319148936,2
f_343,0.003404255319148936,1157
f_344,0.003404255319148936,1169
f_345,0.48936170212765956,596
f_346,0.48936170212765956,593
f_347,0.003404255319148936,2
f_348,0.01702127659574468,328
f_349,0.01702127659574468,346
f_350,0.01702127659574468,389
f_351,0.01702127659574468,447
f_352,0.01702127659574468,324
f_353,0.01702127659574468,506
f_354,0.01702127659574468,442
f_355,0.01702127659574468,505
f_356,0.000851063829787234,1124
f_357,0.00851063829787234,27
f_358,0.854468085106383,18
f_359,0.0,207
f_360,0.0,92
f_361,0.0,816
f_362,0.03148936170212766,334
f_363,0.03148936170212766,1138
f_364,0.00425531914893617,1
f_365,0.000851063829787234,108
f_366,0.000851063829787234,97
f_367,0.00425531914893617,101
f_368,0.00425531914893617,87
f_369,0.00425531914893617,1
f_370,0.00425531914893617,1
f_371,0.00425531914893617,1
f_372,0.00425531914893617,1
f_373,0.00425531914893617,1
f_374,0.00425531914893617,1
f_375,0.00425531914893617,1
f_376,0.000851063829787234,35
f_377,0.000851063829787234,30
f_378,0.00425531914893617,1
f_379,0.00425531914893617,1
f_380,0.00425531914893617,1
f_381,0.00425531914893617,1
f_382,0.6638297872340425,27
f_383,0.6638297872340425,384
f_384,0.6638297872340425,388
f_385,0.4451063829787234,204
f_386,0.0,183
f_387,0.0,21
f_388,0.0,1175
f_389,0.0,79
f_390,0.0,1112
f_391,0.01702127659574468,170
f_392,0.0,106
f_393,0.0,797
f_394,0.007659574468085106,1
f_395,0.007659574468085106,1
f_396,0.007659574468085106,1
f_397,0.007659574468085106,1
f_398,0.007659574468085106,1
f_399,0.007659574468085106,1
f_400,0.007659574468085106,1
f_401,0.007659574468085106,1
f_402,0.007659574468085106,1
f_403,0.007659574468085106,1
f_404,0.007659574468085106,1
f_405,0.006808510638297872,220
f_406,0.006808510638297872,315
f_407,0.006808510638297872,311
f_408,0.002553191489361702,537
f_409,0.003404255319148936,1163
f_410,0.003404255319148936,1164
f_411,0.00851063829787234,467
f_412,0.00851063829787234,475
f_413,0.00851063829787234,475
f_414,0.00851063829787234,1
f_415,0.00851063829787234,472
f_416,0.005106382978723404,468
f_417,0.001702127659574468,1167
f_418,0.001702127659574468,800
f_419,0.001702127659574468,630
f_420,0.001702127659574468,1138
f_421,0.001702127659574468,1160
f_422,0.002553191489361702,1
f_423,0.002553191489361702,1171
f_424,0.002553191489361702,1152
f_425,0.002553191489361702,1159
f_426,0.002553191489361702,1125
f_427,0.002553191489361702,1155
f_428,0.00851063829787234,368
f_429,0.0,1166
f_430,0.0,1165
f_431,0.0,1166
f_432,0.0,1128
f_433,0.0,1028
f_434,0.0,1158
f_435,0.0,1153
f_436,0.0,1156
f_437,0.0,1134
f_438,0.0,800
f_439,0.0,1167
f_440,0.0,1170
f_441,0.0,312
f_442,0.0,322
f_443,0.0,318
f_444,0.0,312
f_445,0.0,316
f_446,0.0,325
f_447,0.0,305
f_448,0.0,313
f_449,0.015319148936170212,1
f_450,0.015319148936170212,1
f_451,0.000851063829787234,1
f_452,0.000851063829787234,1146
f_453,0.000851063829787234,1168
f_454,0.000851063829787234,1168
f_455,0.000851063829787234,1150
f_456,0.000851063829787234,1166
f_457,0.000851063829787234,1162
f_458,0.000851063829787234,1
f_459,0.000851063829787234,1143
f_460,0.000851063829787234,1173
f_461,0.000851063829787234,1
f_462,0.002553191489361702,1
f_463,0.002553191489361702,1
f_464,0.002553191489361702,1
f_465,0.002553191489361702,1
f_466,0.002553191489361702,1
f_467,0.002553191489361702,379
f_468,0.00425531914893617,986
f_469,0.003404255319148936,1142
f_470,0.003404255319148936,1163
f_471,0.003404255319148936,1168
f_472,0.00425531914893617,1170
f_473,0.00425531914893617,1170
f_474,0.00425531914893617,1169
f_475,0.003404255319148936,1148
f_476,0.003404255319148936,1170
f_477,0.003404255319148936,1159
f_478,0.003404255319148936,2
f_479,0.003404255319148936,1142
f_480,0.003404255319148936,1170
f_481,0.003404255319148936,1
f_482,0.01702127659574468,807
f_483,0.01702127659574468,1056
f_484,0.01702127659574468,994
f_485,0.01702127659574468,1024
f_486,0.01702127659574468,776
f_487,0.01702127659574468,905
f_488,0.01702127659574468,992
f_489,0.01702127659574468,1009
f_490,0.000851063829787234,1171
f_491,0.00851063829787234,427
f_492,0.854468085106383,171
f_493,0.0,523
f_494,0.0,762
f_495,0.0,809
f_496,0.03148936170212766,1134
f_497,0.03148936170212766,1134
f_498,0.00425531914893617,1
f_499,0.000851063829787234,537
f_500,0.000851063829787234,485
f_501,0.00425531914893617,1
f_502,0.00425531914893617,1
f_503,0.00425531914893617,1
f_504,0.00425531914893617,1
f_505,0.00425531914893617,1
f_506,0.00425531914893617,1
f_507,0.00425531914893617,1
f_508,0.00425531914893617,1
f_509,0.00425531914893617,1
f_510,0.000851063829787234,1133
f_511,0.000851063829787234,459
f_512,0.00425531914893617,1
f_513,0.00425531914893617,1
f_514,0.00425531914893617,1
f_515,0.00425531914893617,1
f_516,0.6638297872340425,365
f_517,0.6638297872340425,391
f_518,0.6638297872340425,392
f_519,0.4451063829787234,642
f_520,0.0,1157
f_521,0.0,9
f_522,0.0,1171
f_523,0.0,850
f_524,0.0,1160
f_525,0.01702127659574468,1143
f_526,0.0,1146
f_527,0.0,1166
f_528,0.007659574468085106,1
f_529,0.007659574468085106,1
f_530,0.007659574468085106,1
f_531,0.007659574468085106,1
f_532,0.007659574468085106,1
f_533,0.007659574468085106,1
f_534,0.007659574468085106,1
f_535,0.007659574468085106,1
f_536,0.007659574468085106,1
f_537,0.007659574468085106,1
f_538,0.007659574468085106,1
f_539,0.006808510638297872,314
f_540,0.006808510638297872,316
f_541,0.006808510638297872,316
f_542,0.001702127659574468,98
f_543,0.001702127659574468,70
f_544,0.001702127659574468,21
f_545,0.001702127659574468,242
f_546,0.1574468085106383,805
f_547,0.1574468085106383,789
f_548,0.1574468085106383,762
f_549,0.1574468085106383,815
f_550,0.1574468085106383,626
f_551,0.1574468085106383,202
f_552,0.1574468085106383,759
f_553,0.1574468085106383,822
f_554,0.1574468085106383,785
f_555,0.1574468085106383,828
f_556,0.1574468085106383,819
f_557,0.1574468085106383,816
f_558,0.000851063829787234,331
f_559,0.000851063829787234,361
f_560,0.000851063829787234,315
f_561,0.000851063829787234,371
f_562,0.18723404255319148,649
f_563,0.18723404255319148,602
f_564,0.18723404255319148,463
f_565,0.18723404255319148,572
f_566,0.18723404255319148,655
f_567,0.18723404255319148,493
f_568,0.18723404255319148,652
f_569,0.18723404255319148,660
f_570,0.0,663
f_571,0.0,662
f_572,0.0,469
f_573,0.0,628
f_574,0.0,674
f_575,0.0,511
f_576,0.0,667
f_577,0.0,687
f_578,0.6161702127659574,276
f_579,0.6161702127659574,228
f_580,0.6161702127659574,104
f_581,0.6161702127659574,446
f_582,0.000851063829787234,167
f_583,0.000851063829787234,206
f_584,0.000851063829787234,62
f_585,0.000851063829787234,1140
f_586,0.000851063829787234,300
f_587,0.000851063829787234,243
f_588,0.000851063829787234,114
f_589,0.000851063829787234,524
